timestamp,agent.name,rule.description,data.win.system.message,data.win.eventdata.targetFilename
"Jul 16, 2024 @ 18:24:23.487","Windows-10-Home-Edition-Vulnerable-OS","Sysmon - Event 1: Process creation.",""Process Create:
RuleName: technique_id=T1204,technique_name=User Execution
UtcTime: 2024-07-16 12:44:18.965
ProcessGuid: {e2220e9d-6b22-6696-4b02-000000002600}
ProcessId: 5668
Image: C:\Windows\System32\notepad.exe
FileVersion: 10.0.19041.4355 (WinBuild.160101.0800)
Description: Notepad
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: NOTEPAD.EXE
CommandLine: "C:\Windows\system32\NOTEPAD.EXE" C:\Users\compromised-windows\Desktop\ransomware-simulator-note.txt
CurrentDirectory: C:\Users\compromised-windows\Desktop\
User: WINDOWS-11-VULN\compromised-windows
LogonGuid: {e2220e9d-6751-6696-8367-050000000000}
LogonId: 0x56783
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA1=BD6B9B8BF4B0911846A089C620CE3B4A43EE9674,MD5=BD33AA772F4751C5A79F94636088774E,SHA256=C286747D319818C1205FD487040840353C5F4542FAFFDABAE9131481BDFEB92A,IMPHASH=09ED737A03DB7295BF734A9953F6EB5E
ParentProcessGuid: {e2220e9d-6760-6696-8000-000000002600}
ParentProcessId: 4424
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE
ParentUser: WINDOWS-11-VULN\compromised-windows"",
"Jul 16, 2024 @ 18:19:44.229","Windows-10-Home-Edition-Vulnerable-OS","Sysmon - Event 15: FileCreateStreamHash.",""File stream created:
RuleName: technique_id=T1189,technique_name=Drive-by Compromise
UtcTime: 2024-07-16 12:40:32.360
ProcessGuid: {e2220e9d-6a3f-6696-2502-000000002600}
ProcessId: 5996
Image: C:\Users\compromised-windows\AppData\Local\Google\Chrome\Application\chrome.exe
TargetFilename: C:\Users\compromised-windows\Downloads\quickbuck.exe:Zone.Identifier
CreationUtcTime: 2024-07-16 12:40:29.727
Hash: SHA1=33FC118061A2B5F3EBC054E6EAC9304FFB77E83E,MD5=AC1CE1C48F53309E6B365689A03C50FA,SHA256=AEB7BB47D4E151E66B7433507A542FF25D5E14D4EAF339B20E8A91967ABB5D0C,IMPHASH=00000000000000000000000000000000
Contents: [ZoneTransfer]  ZoneId=3  ReferrerUrl=https://github.com/NextronSystems/ransomware-simulator/releases  
User: WINDOWS-11-VULN\compromised-windows"","C:\\Users\\compromised-windows\\Downloads\\quickbuck.exe:Zone.Identifier"
"Jul 16, 2024 @ 18:19:24.990","Windows-10-Home-Edition-Vulnerable-OS","Sysmon - Event 15: FileCreateStreamHash.",""File stream created:
RuleName: technique_id=T1189,technique_name=Drive-by Compromise
UtcTime: 2024-07-16 12:39:55.268
ProcessGuid: {e2220e9d-6760-6696-8000-000000002600}
ProcessId: 4424
Image: C:\Windows\Explorer.EXE
TargetFilename: C:\Users\compromised-windows\Downloads\ransomware-simulator-1.0.3\ransomware-simulator-1.0.3\lib\simulatemacro\macro.go:Zone.Identifier
CreationUtcTime: 2022-05-15 21:35:36.000
Hash: SHA1=E93D1A434B59A42820732197B71B86D06DFCC038,MD5=945082ECF1E638025DA201AD4A68A73A,SHA256=BDD25DDAD86AE69B59E5B113DCAAE19D4FEFE3C65E9F56276F869E0A05D0D349,IMPHASH=00000000000000000000000000000000
Contents: [ZoneTransfer]  ZoneId=3  ReferrerUrl=C:\Users\compromised-windows\Downloads\ransomware-simulator-1.0.3.zip  
User: WINDOWS-11-VULN\compromised-windows"","C:\\Users\\compromised-windows\\Downloads\\ransomware-simulator-1.0.3\\ransomware-simulator-1.0.3\\lib\\simulatemacro\\macro.go:Zone.Identifier"
"Jul 16, 2024 @ 18:19:24.956","Windows-10-Home-Edition-Vulnerable-OS","Sysmon - Event 15: FileCreateStreamHash.",""File stream created:
RuleName: -
UtcTime: 2024-07-16 12:39:55.268
ProcessGuid: {e2220e9d-6760-6696-8000-000000002600}
ProcessId: 4424
Image: C:\Windows\Explorer.EXE
TargetFilename: C:\Users\compromised-windows\Downloads\ransomware-simulator-1.0.3\ransomware-simulator-1.0.3\lib\simulatemacro\macro.go
CreationUtcTime: 2022-05-15 21:35:36.000
Hash: SHA1=4437B8922BBF5397DD2E6BDBB6306A3089221FC7,MD5=C4629185EEE21B8132764C98622E3FEE,SHA256=193CE235F8A4D8F3366A4D3F084A6E28B6565B1E0233CB391B0712234A286A2F,IMPHASH=00000000000000000000000000000000
Contents: -
User: WINDOWS-11-VULN\compromised-windows"","C:\\Users\\compromised-windows\\Downloads\\ransomware-simulator-1.0.3\\ransomware-simulator-1.0.3\\lib\\simulatemacro\\macro.go"
"Jul 16, 2024 @ 18:19:24.923","Windows-10-Home-Edition-Vulnerable-OS","Sysmon - Event 15: FileCreateStreamHash.",""File stream created:
RuleName: technique_id=T1189,technique_name=Drive-by Compromise
UtcTime: 2024-07-16 12:39:55.268
ProcessGuid: {e2220e9d-6760-6696-8000-000000002600}
ProcessId: 4424
Image: C:\Windows\Explorer.EXE
TargetFilename: C:\Users\compromised-windows\Downloads\ransomware-simulator-1.0.3\ransomware-simulator-1.0.3\lib\simulatemacro\macro.go:Zone.Identifier
CreationUtcTime: 2022-05-15 21:35:36.000
Hash: SHA1=D59FC84CDD5217C6CF74785703655F78DA6B582B,MD5=FBCCF14D504B7B2DBCB5A5BDA75BD93B,SHA256=EACD09517CE90D34BA562171D15AC40D302F0E691B439F91BE1B6406E25F5913,IMPHASH=00000000000000000000000000000000
Contents: [ZoneTransfer]  ZoneId=3  
User: WINDOWS-11-VULN\compromised-windows"","C:\\Users\\compromised-windows\\Downloads\\ransomware-simulator-1.0.3\\ransomware-simulator-1.0.3\\lib\\simulatemacro\\macro.go:Zone.Identifier"
"Jul 16, 2024 @ 18:19:24.891","Windows-10-Home-Edition-Vulnerable-OS","Sysmon - Event 11: FileCreate.",""File created:
RuleName: -
UtcTime: 2024-07-16 12:39:55.268
ProcessGuid: {e2220e9d-6760-6696-8000-000000002600}
ProcessId: 4424
Image: C:\Windows\Explorer.EXE
TargetFilename: C:\Users\compromised-windows\Downloads\ransomware-simulator-1.0.3\ransomware-simulator-1.0.3\lib\simulatemacro\macro.go:Zone.Identifier
CreationUtcTime: 2022-05-15 21:35:36.000
User: WINDOWS-11-VULN\compromised-windows"","C:\\Users\\compromised-windows\\Downloads\\ransomware-simulator-1.0.3\\ransomware-simulator-1.0.3\\lib\\simulatemacro\\macro.go:Zone.Identifier"
"Jul 16, 2024 @ 18:19:24.864","Windows-10-Home-Edition-Vulnerable-OS","Sysmon - Event 15: FileCreateStreamHash.",""File stream created:
RuleName: -
UtcTime: 2024-07-16 12:39:55.268
ProcessGuid: {e2220e9d-6760-6696-8000-000000002600}
ProcessId: 4424
Image: C:\Windows\Explorer.EXE
TargetFilename: C:\Users\compromised-windows\Downloads\ransomware-simulator-1.0.3\ransomware-simulator-1.0.3\lib\simulatemacro\macro.go
CreationUtcTime: 2022-05-15 21:35:36.000
Hash: SHA1=4437B8922BBF5397DD2E6BDBB6306A3089221FC7,MD5=C4629185EEE21B8132764C98622E3FEE,SHA256=193CE235F8A4D8F3366A4D3F084A6E28B6565B1E0233CB391B0712234A286A2F,IMPHASH=00000000000000000000000000000000
Contents: -
User: WINDOWS-11-VULN\compromised-windows"","C:\\Users\\compromised-windows\\Downloads\\ransomware-simulator-1.0.3\\ransomware-simulator-1.0.3\\lib\\simulatemacro\\macro.go"
"Jul 16, 2024 @ 18:19:24.803","Windows-10-Home-Edition-Vulnerable-OS","Sysmon - Event 11: FileCreate.",""File created:
RuleName: -
UtcTime: 2024-07-16 12:39:55.244
ProcessGuid: {e2220e9d-6760-6696-8000-000000002600}
ProcessId: 4424
Image: C:\Windows\Explorer.EXE
TargetFilename: C:\Users\compromised-windows\Downloads\ransomware-simulator-1.0.3\ransomware-simulator-1.0.3\lib\simulatemacro\macro.go
CreationUtcTime: 2024-07-16 12:39:55.244
User: WINDOWS-11-VULN\compromised-windows"","C:\\Users\\compromised-windows\\Downloads\\ransomware-simulator-1.0.3\\ransomware-simulator-1.0.3\\lib\\simulatemacro\\macro.go"
"Jul 16, 2024 @ 18:19:24.776","Windows-10-Home-Edition-Vulnerable-OS","Sysmon - Event 11: FileCreate.",""File created:
RuleName: -
UtcTime: 2024-07-16 12:39:55.244
